t,AE
0,-0.000729522705078125
1e-07,-0.00086029052734375
2e-07,-0.000856475830078125
3e-07,-0.0009625244140625
4e-07,-0.00100448608398437
5e-07,-0.000986785888671875
6e-07,-0.00103408813476562
7e-07,-0.0010028076171875
8e-07,-0.000947723388671875
9e-07,-0.001007080078125
1e-06,-0.00106857299804688
1.1e-06,-0.00104568481445313
1.2e-06,-0.0009765625
1.3e-06,-0.0008612060546875
1.4e-06,-0.000820770263671875
1.5e-06,-0.0008746337890625
1.6e-06,-0.00091552734375
1.7e-06,-0.000968475341796875
1.8e-06,-0.00097320556640625
1.9e-06,-0.000923919677734375
2e-06,-0.0009405517578125
2.1e-06,-0.00096923828125
2.2e-06,-0.000936279296875
2.3e-06,-0.000973968505859375
2.4e-06,-0.001058349609375
2.5e-06,-0.00109725952148437
2.6e-06,-0.00114456176757813
2.7e-06,-0.00114974975585937
2.8e-06,-0.00112960815429688
2.9e-06,-0.0009814453125
3e-06,-0.0010443115234375
3.1e-06,-0.00109161376953125
3.2e-06,-0.00115646362304688
3.3e-06,-0.00107025146484375
3.4e-06,-0.000969696044921875
3.5e-06,-0.000984649658203125
3.6e-06,-0.000985107421875
3.7e-06,-0.00097564697265625
3.8e-06,-0.00102874755859375
3.9e-06,-0.00104904174804688
4e-06,-0.00105300903320313
4.1e-06,-0.0010040283203125
4.2e-06,-0.000980682373046875
4.3e-06,-0.00095611572265625
4.4e-06,-0.000832977294921875
4.5e-06,-0.00086700439453125
4.6e-06,-0.0009259033203125
4.7e-06,-0.000959930419921875
4.8e-06,-0.000969696044921875
4.9e-06,-0.000905303955078125
5e-06,-0.000870208740234375
5.1e-06,-0.000782318115234375
5.2e-06,-0.00077972412109375
5.3e-06,-0.00086700439453125
5.4e-06,-0.000919342041015625
5.5e-06,-0.0009246826171875
5.6e-06,-0.0009100341796875
5.7e-06,-0.000807037353515625
5.8e-06,-0.000822601318359375
5.9e-06,-0.000876312255859375
6e-06,-0.00079681396484375
6.1e-06,-0.00083648681640625
6.2e-06,-0.000848388671875
6.3e-06,-0.00076141357421875
6.4e-06,-0.000725250244140625
6.5e-06,-0.000706939697265625
6.6e-06,-0.00073822021484375
6.7e-06,-0.000791015625
6.8e-06,-0.00080352783203125
6.9e-06,-0.00087066650390625
7e-06,-0.000922088623046875
