t,LDV
0,3.54892272949219e-05
1e-07,4.4227294921875e-05
2e-07,4.45595092773438e-05
3e-07,3.08430480957031e-05
4e-07,3.60455932617187e-05
5e-07,4.04435729980469e-05
6e-07,4.49417114257812e-05
7e-07,4.12008056640625e-05
8e-07,3.45860900878906e-05
9e-07,4.15672912597656e-05
1e-06,4.69289245605469e-05
1.1e-06,3.75993347167969e-05
1.2e-06,4.53017272949219e-05
1.3e-06,3.7574951171875e-05
1.4e-06,4.26633911132812e-05
1.5e-06,3.86971130371094e-05
1.6e-06,3.97107238769531e-05
1.7e-06,3.5698486328125e-05
1.8e-06,3.09142761230469e-05
1.9e-06,3.87539978027344e-05
2e-06,3.18770751953125e-05
2.1e-06,3.73634643554688e-05
2.2e-06,3.723828125e-05
2.3e-06,3.10027160644531e-05
2.4e-06,3.85677185058594e-05
2.5e-06,3.46471557617188e-05
2.6e-06,3.73904418945313e-05
2.7e-06,3.23099670410156e-05
2.8e-06,3.98407592773437e-05
2.9e-06,4.40381164550781e-05
3e-06,4.2697265625e-05
3.1e-06,2.49828186035156e-05
3.2e-06,2.88565979003906e-05
3.3e-06,4.84381713867187e-05
3.4e-06,3.65174255371094e-05
3.5e-06,3.8495361328125e-05
3.6e-06,4.35517578125e-05
3.7e-06,4.28144836425781e-05
3.8e-06,3.6107177734375e-05
3.9e-06,3.68304138183594e-05
4e-06,3.57466430664062e-05
4.1e-06,2.78041381835937e-05
4.2e-06,4.17540283203125e-05
4.3e-06,4.2552490234375e-05
4.4e-06,3.95715942382813e-05
4.5e-06,3.11275329589844e-05
4.6e-06,4.50118103027344e-05
4.7e-06,3.85527954101563e-05
4.8e-06,3.9086181640625e-05
4.9e-06,3.52178955078125e-05
5e-06,4.74247741699219e-05
5.1e-06,3.75025024414063e-05
5.2e-06,4.11838684082031e-05
5.3e-06,3.47912292480469e-05
5.4e-06,5.00839233398438e-05
5.5e-06,4.4484130859375e-05
5.6e-06,3.07957153320313e-05
5.7e-06,4.60959167480469e-05
5.8e-06,4.24628601074219e-05
5.9e-06,3.23615112304687e-05
6e-06,2.88622131347656e-05
6.1e-06,3.54564208984375e-05
6.2e-06,5.36471557617188e-05
6.3e-06,3.40055236816406e-05
6.4e-06,4.38727416992188e-05
6.5e-06,4.39208984375e-05
6.6e-06,4.52906799316406e-05
6.7e-06,4.29913635253906e-05
6.8e-06,3.37807006835938e-05
6.9e-06,4.35506286621094e-05
7e-06,4.89135437011719e-05
7.1e-06,2.60828552246094e-05
7.2e-06,4.56853332519531e-05
7.3e-06,4.62802429199219e-05
7.4e-06,3.71662292480469e-05
7.5e-06,3.52781677246094e-05
7.6e-06,3.66274719238281e-05
7.7e-06,4.03063354492187e-05
7.8e-06,3.87723999023438e-05
7.9e-06,3.38334350585938e-05
8e-06,3.48795776367188e-05
8.1e-06,3.8435791015625e-05
8.2e-06,5.25760803222656e-05
8.3e-06,3.82380676269531e-05
8.4e-06,2.35919494628906e-05
8.5e-06,3.41691284179688e-05
8.6e-06,3.62925720214844e-05
8.7e-06,4.42303466796875e-05
8.8e-06,4.24283142089844e-05
8.9e-06,2.90833740234375e-05
9e-06,3.45466613769531e-05
9.1e-06,5.23232421875e-05
9.2e-06,4.39385375976563e-05
9.3e-06,3.11136474609375e-05
9.4e-06,4.2407470703125e-05
9.5e-06,3.27310180664062e-05
9.6e-06,3.91906127929688e-05
9.7e-06,3.79494018554687e-05
9.8e-06,4.27709045410156e-05
9.9e-06,3.66110229492188e-05
1e-05,3.45154724121094e-05
1.01e-05,3.69918823242188e-05
1.02e-05,4.47173156738281e-05
1.03e-05,4.14562072753906e-05
1.04e-05,2.2982177734375e-05
1.05e-05,4.85401306152344e-05
1.06e-05,4.37106018066406e-05
1.07e-05,3.6228515625e-05
1.08e-05,4.0274658203125e-05
1.09e-05,4.592626953125e-05
1.1e-05,3.88282165527344e-05
1.11e-05,4.34533996582031e-05
1.12e-05,3.91430053710938e-05
1.13e-05,3.80935974121094e-05
1.14e-05,3.64906005859375e-05
1.15e-05,4.17843322753906e-05
1.16e-05,4.67658386230469e-05
1.17e-05,4.06577453613281e-05
1.18e-05,3.11484375e-05
1.19e-05,3.97400207519531e-05
1.2e-05,5.33752746582031e-05
1.21e-05,3.65492553710937e-05
1.22e-05,3.56993713378906e-05
1.23e-05,4.16530456542969e-05
1.24e-05,3.69440612792969e-05
1.25e-05,4.75288391113281e-05
1.26e-05,3.21627502441406e-05
1.27e-05,3.71384887695313e-05
1.28e-05,4.04685974121094e-05
1.29e-05,3.54863586425781e-05
1.3e-05,3.7971435546875e-05
1.31e-05,3.92837829589844e-05
1.32e-05,4.543212890625e-05
1.33e-05,4.4795654296875e-05
1.34e-05,4.90414428710938e-05
1.35e-05,3.72764587402344e-05
1.36e-05,3.61817932128906e-05
1.37e-05,4.06332702636719e-05
1.38e-05,4.21105346679687e-05
1.39e-05,3.91328735351563e-05
1.4e-05,3.65211486816406e-05
1.41e-05,3.16890869140625e-05
1.42e-05,4.20088806152344e-05
1.43e-05,4.02715759277344e-05
1.44e-05,3.21334838867188e-05
1.45e-05,4.17445678710938e-05
1.46e-05,3.72728881835938e-05
1.47e-05,4.0802490234375e-05
1.48e-05,3.87886657714844e-05
1.49e-05,4.46638488769531e-05
1.5e-05,3.24702758789063e-05
1.51e-05,2.46332702636719e-05
1.52e-05,4.74154357910156e-05
1.53e-05,4.26178894042969e-05
1.54e-05,3.71034851074219e-05
1.55e-05,3.92412719726563e-05
1.56e-05,3.32198486328125e-05
1.57e-05,3.95745239257812e-05
1.58e-05,3.76208190917969e-05
1.59e-05,4.90408020019531e-05
1.6e-05,4.94892272949219e-05
1.61e-05,3.47022399902344e-05
1.62e-05,3.57592468261719e-05
1.63e-05,4.31074829101563e-05
1.64e-05,4.34588623046875e-05
1.65e-05,4.17800903320313e-05
1.66e-05,3.96777954101563e-05
1.67e-05,3.33623352050781e-05
1.68e-05,3.44422912597656e-05
1.69e-05,5.41972045898438e-05
1.7e-05,4.28019714355469e-05
1.71e-05,4.1883544921875e-05
1.72e-05,3.27476196289063e-05
1.73e-05,3.409228515625e-05
1.74e-05,5.21231079101562e-05
1.75e-05,0.000146121032714844
1.76e-05,0.000445771911621094
1.77e-05,0.000776964752197266
1.78e-05,0.000895404174804687
1.79e-05,0.000770508117675781
1.8e-05,0.000210806060791016
1.81e-05,-0.000619063751220703
1.82e-05,-0.00120200494384766
1.83e-05,-0.00130764978027344
1.84e-05,-0.00100750595092773
1.85e-05,-0.000477658599853516
1.86e-05,-1.26938171386719e-05
1.87e-05,0.000246895446777344
1.88e-05,0.000242851135253906
1.89e-05,0.000123601196289062
1.9e-05,8.41670227050781e-05
1.91e-05,0.000128709075927734
1.92e-05,0.000230942138671875
1.93e-05,0.000353305358886719
1.94e-05,0.000372489166259766
1.95e-05,0.000343526214599609
1.96e-05,0.000262051971435547
1.97e-05,0.000137055084228516
1.98e-05,8.07965393066406e-05
1.99e-05,4.18292541503906e-05
2e-05,3.84844360351563e-05
2.01e-05,5.44735107421875e-05
2.02e-05,1.86489562988281e-05
